consumption,unit,spend_amount,currency,emission_intensity,output_value,output_unit,_id,company_id,site_id,user_id,manager_id,frequency,year,month,emission_factor,emission_factor_unit,calculated_emission,name,notes,source,approved,approved_by,created_at,updated_at
185070.00,Kwh,,Select,,,,68a4659a65ea59a1f18b1b1d,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,January,0.6986,TCO2e,129.28990199999998,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-19T11:52:58.510000,2025-08-19T11:52:58.510000
235100.00,Kwh,,Select,,,,68a5521765ea59a1f18b1d57,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,February,0.6986,TCO2e,164.24086,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-20T04:41:59.006000,2025-08-20T04:41:59.006000
261240.00,Kwh,,Select,,,,68a5521765ea59a1f18b1d5a,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,March,0.6986,TCO2e,182.502264,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-20T04:41:59.478000,2025-08-20T04:41:59.478000
310400.00,Kwh,,Select,,,,68a5521a65ea59a1f18b1d5d,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,April,0.6986,TCO2e,216.84544,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-20T04:42:02.646000,2025-08-20T04:42:02.646000
380280.00,Kwh,,Select,,,,68a5521b65ea59a1f18b1d60,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,May,0.6986,TCO2e,265.66360799999995,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-20T04:42:03.287000,2025-08-20T04:42:03.288000
370280.00,Kwh,,Select,,,,68a5521c65ea59a1f18b1d63,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,June,0.6986,TCO2e,258.67760799999996,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-20T04:42:04.361000,2025-08-20T04:42:04.361000
372550.00,Kwh,,Select,,,,68a5521d65ea59a1f18b1d66,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,July,0.6986,TCO2e,260.26343,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-20T04:42:05.051000,2025-08-20T04:42:05.051000
337160.00,Kwh,,Select,,,,68a5522165ea59a1f18b1d69,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,August,0.6986,TCO2e,235.53997600000002,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-20T04:42:09.991000,2025-08-20T04:42:09.991000
234540.00,Kwh,,Select,,,,68a5522865ea59a1f18b1d6c,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,October,0.6986,TCO2e,163.84964399999998,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-20T04:42:16.376000,2025-08-20T04:42:16.376000
297030.00,Kwh,,Select,,,,68a5522965ea59a1f18b1d6f,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,September,0.6986,TCO2e,207.505158,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-20T04:42:17.600000,2025-08-20T04:42:17.600000
212710.00,Kwh,,Select,,,,68a5522d65ea59a1f18b1d72,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,November,0.6986,TCO2e,148.599206,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-20T04:42:21.116000,2025-08-20T04:42:21.116000
189630.00,Kwh,,Select,,,,68a5522e65ea59a1f18b1d75,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,December,0.6986,TCO2e,132.475518,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-20T04:42:22.790000,2025-08-20T04:42:22.790000
223153.00,Kwh,,Select,,,,68a5583b65ea59a1f18b1e33,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2025,January,0.6986,TCO2e,155.8946858,Ali Majeed,,IEA 2024,true,Mauricio Dela Cruz,2025-08-20T05:08:11.211000,2025-08-20T05:08:11.211000
190745.00,Kwh,,Select,,,,68a5583b65ea59a1f18b1e36,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2025,February,0.6986,TCO2e,133.254457,Ali Majeed,,IEA 2024,true,Mauricio Dela Cruz,2025-08-20T05:08:11.836000,2025-08-20T05:08:11.836000
268125.00,Kwh,,Select,,,,68a5583d65ea59a1f18b1e39,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2025,March,0.6986,TCO2e,187.312125,Ali Majeed,,IEA 2024,true,Mauricio Dela Cruz,2025-08-20T05:08:13.426000,2025-08-20T05:08:13.426000
353945.00,Kwh,,Select,,,,68a5583e65ea59a1f18b1e3c,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2025,April,0.6986,TCO2e,247.265977,Ali Majeed,,IEA 2024,true,Mauricio Dela Cruz,2025-08-20T05:08:14.581000,2025-08-20T05:08:14.581000
398294.00,Kwh,,Select,,,,68a5583f65ea59a1f18b1e3f,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2025,May,0.6986,TCO2e,278.2481884,Ali Majeed,,IEA 2024,true,Mauricio Dela Cruz,2025-08-20T05:08:15.860000,2025-08-20T05:08:15.860000
3433,Kwh,,Select,,,,68b965ab65e87c4c92f70e5b,68b9632065e87c4c92f6fc69,68b963a865e87c4c92f7056b,68b9649365e87c4c92f70587,,Monthly,2024,January,0.716,TCO2e/MWH,2.4580279999999997,UserDemo,,IEA 2023,true,ManagerDemo,2025-09-04T10:10:51.586000,2025-09-04T10:10:51.586000
339417,Kwh,,Select,,,,68ca5d01f16333b719d2961a,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,Monthly,2025,August,0.6986,TCO2e,237.11671619999998,Ali Majeed,,IEA 2024,true,Padm Nabh Tripathi,2025-09-17T07:02:25.943000,2025-09-17T07:02:25.943000
386467,Kwh,,Select,,,,68ca5d02f16333b719d2961d,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,Monthly,2025,July,0.6986,TCO2e,269.98584619999997,Ali Majeed,,IEA 2024,true,Padm Nabh Tripathi,2025-09-17T07:02:26.643000,2025-09-17T07:02:26.643000
403534,Kwh,,Select,,,,68ca5d03f16333b719d29620,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,Monthly,2025,June,0.6986,TCO2e,281.9088524,Ali Majeed,,IEA 2024,true,Padm Nabh Tripathi,2025-09-17T07:02:27.388000,2025-09-17T07:02:27.388000
3454,Kwh,,Select,,,,68d3ba77f2a4964c04d468e5,68b9632065e87c4c92f6fc69,68d39680f2a4964c04d45b6e,68d39699f2a4964c04d45b73,,Monthly,2025,January,0.727,TCO2e/MWH,2.5110580000000002,MumbaiUser,,IEA 2024,true,ManagerDemo,2025-09-24T09:31:35.816000,2025-09-24T09:31:35.816000
2323,Kwh,,Select,,,,68d3ba82f2a4964c04d468e8,68b9632065e87c4c92f6fc69,68d39680f2a4964c04d45b6e,68d39699f2a4964c04d45b73,,Monthly,2024,January,0.716,TCO2e/MWH,1.663268,MumbaiUser,,IEA 2023,true,ManagerDemo,2025-09-24T09:31:46.154000,2025-09-24T09:31:46.154000
316344,Kwh,,Select,,,,690b389dda4d7dea07775048,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,Monthly,2025,September,0.6986,TCO2e,220.9979184,Ali Majeed,,IEA 2024,true,Padm Nabh Tripathi,2025-11-05T11:44:29.940000,2025-11-05T11:44:29.940000
263825,Kwh,,Select,,,,691459adf039fbab23b181a1,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,Monthly,2025,October,0.6986,TCO2e,184.308145,Ali Majeed,,IEA 2024,true,Padm Nabh Tripathi,2025-11-12T09:55:57.364000,2025-11-12T09:55:57.364000
63358,Kwh,,Select,,,,6926a099975615828278b385,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2024,December,0.0792,TCO2e,5.0179536,Emidio Tinga,,IEA 2023,true,Padm Nabh Tripathi,2025-11-26T06:39:21.081000,2025-11-26T06:39:21.081000
39041,Kwh,,Select,,,,6926a099975615828278b388,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2024,November,0.0792,TCO2e,3.0920472,Emidio Tinga,,IEA 2023,true,Padm Nabh Tripathi,2025-11-26T06:39:21.710000,2025-11-26T06:39:21.710000
