_id,company_id,site_id,user_id,manager_id,frequency,year,month,emission_factor,emission_factor_unit,calculated_emission,name,notes,source,approved,approved_by,created_at,updated_at,waste_type,waste_category,quantity,unit,disposal_method
68997444c4c6e0069e715569,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bd0896163182f4b27907,,yearly,2024,Select Month,6.41061,KgCO2e/tonne,1.383409638,Abduljabbar AlAwadhi,,DEFRA 2023,true,Mauricio Dela Cruz,2025-08-11T04:40:36.063000,2025-08-20T05:37:20.452000,Emulsion oil,Waste Disposal,215.8,tonne,Combustion
689974adc4c6e0069e71562b,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bd0896163182f4b27907,,yearly,2024,Select Month,6.41061,KgCO2e/tonne,0.33585185790000005,Abduljabbar AlAwadhi,,Defra 2024,true,Mauricio Dela Cruz,2025-08-11T04:42:21.930000,2025-08-20T05:37:37.823000,Cotton threads,Waste Disposal,52.39,tonne,Combustion
6899750ac4c6e0069e715633,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bd0896163182f4b27907,,yearly,2024,Select Month,6.41061,KgCO2e/tonne,0.1328278392,Abduljabbar AlAwadhi,,Defra 2024,true,Mauricio Dela Cruz,2025-08-11T04:43:54.194000,2025-08-20T05:37:55.329000,Casting Filter,Waste Disposal,20.72,tonne,Combustion
68997538c4c6e0069e71563a,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bd0896163182f4b27907,,yearly,2024,Select Month,6.41061,KgCO2e/tonne,21.237645762899998,Abduljabbar AlAwadhi,,DEFRA 2023,true,Mauricio Dela Cruz,2025-08-11T04:44:40.683000,2025-08-20T05:38:24.173000,Dross,Waste Disposal,3312.89,tonne,OpenLoop
689975e4c4c6e0069e715646,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bd0896163182f4b27907,,yearly,2024,Select Month,0.98485,KgCO2e/tonne,0.0177942698,Abduljabbar AlAwadhi,partially recycled,Defra 2024,true,Mauricio Dela Cruz,2025-08-11T04:47:32.201000,2025-08-20T05:39:40.129000,BRP Ceramic,Waste Disposal,18.068,tonne,OpenLoop
6899762cc4c6e0069e71564d,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bd0896163182f4b27907,,yearly,2024,Select Month,21.2808072368763,Kg CO2e/ ton of material,1.9271260609498069,Abduljabbar AlAwadhi,Lubricant Oil,Defra 2024,true,Mauricio Dela Cruz,2025-08-11T04:48:44.190000,2025-08-20T05:39:20,MineralOil,Construction,90.557,tonne,ClosedLoop
68997661c4c6e0069e715654,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bd0896163182f4b27907,,yearly,2024,Select Month,4.41061,KgCO2e/tonne,0.56939210856,Abduljabbar AlAwadhi,,DEFRA 2023,true,Mauricio Dela Cruz,2025-08-11T04:49:37.644000,2025-08-20T05:40:05.191000,Sludge,Waste Disposal,129.096,tonne,Combustion
68997696c4c6e0069e71565b,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bd0896163182f4b27907,,yearly,2024,Select Month,21.2808072368763,Kg CO2e/ ton of material,3.062414565422684,Abduljabbar AlAwadhi,,Defra 2024,true,Mauricio Dela Cruz,2025-08-11T04:50:30.380000,2025-08-20T05:40:33.049000,Wood,Construction,143.905,tonne,ClosedLoop
689976dac4c6e0069e715662,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bd0896163182f4b27907,,yearly,2024,Select Month,,KgCO2e/tonne,,Abduljabbar AlAwadhi,,Defra 2024,true,Mauricio Dela Cruz,2025-08-11T04:51:38.066000,2025-08-20T05:40:46.627000,Steel scrap,Waste Disposal,319.79,tonne,ClosedLoop
68997702c4c6e0069e715669,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bd0896163182f4b27907,,yearly,2024,Select Month,,KgCO2e/tonne,,Abduljabbar AlAwadhi,,Defra 2024,true,Mauricio Dela Cruz,2025-08-11T04:52:18.617000,2025-08-20T05:40:59.185000,Carton,Waste Disposal,12.5,tonne,ClosedLoop
68997736c4c6e0069e715670,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bd0896163182f4b27907,,yearly,2024,Select Month,497.04416,KgCO2e/tonne,0.39564715136,Abduljabbar AlAwadhi,,Defra 2024,true,Mauricio Dela Cruz,2025-08-11T04:53:10.327000,2025-08-20T05:41:12.479000,General Waste,Waste Disposal,0.796,tonne,Landfilled
68b9672a65e87c4c92f70ffe,68b9632065e87c4c92f6fc69,68b963a865e87c4c92f7056b,68b9649365e87c4c92f70587,,monthly,2024,May,21.2808072368763,Kg CO2e/ ton of material,0.7235474460537942,UserDemo,,DEFRA 2023,true,ManagerDemo,2025-09-04T10:17:14.464000,2025-09-04T10:48:01.309000,Household residual waste,Refuse,34.0,tonne,Combustion
68d3bc73f2a4964c04d46ac6,68b9632065e87c4c92f6fc69,68d39680f2a4964c04d45b6e,68d39699f2a4964c04d45b73,,monthly,2025,January,0.98485,Kg CO2e/ ton of material,0.20878819999999998,MumbaiUser,,DEFRA 2024,true,ManagerDemo,2025-09-24T09:40:03.947000,2025-09-24T09:48:57.530000,Aggregates,Construction,212.0,tonne,ClosedLoop
68d3bc8ef2a4964c04d46acb,68b9632065e87c4c92f6fc69,68d39680f2a4964c04d45b6e,68d39699f2a4964c04d45b73,,monthly,2024,February,21.2808072368763,Kg CO2e/ ton of material,0.4894585664481549,MumbaiUser,,DEFRA 2023,true,ManagerDemo,2025-09-24T09:40:30.855000,2025-09-24T09:48:41.046000,Any Plastic,Plastic,23.0,tonne,OpenLoop
